NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
22,5/11/2020-9/11/2020,Nov 6 2020,cd612b452cf4dd860c8c1b565a13193096952bc7,    chore: resolve some warnings reported by IntelliJ Idea,completed: 590 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/cd612b452cf4dd860c8c1b565a13193096952bc7
23,4/11/2020-5/11/2020,Nov 4 2020,cd006ce78ec905da9515e3cbc33a5b767cbcf48d,    fix: improve resource type detection and remove deprecated method,completed: 589 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/cd006ce78ec905da9515e3cbc33a5b767cbcf48d
23,4/11/2020-5/11/2020,Nov 4 2020,71bf2aa59f0b2e5b9982eccc8586b936e4b9e374,    fix: don't apply const split if not needed,completed: 589 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/71bf2aa59f0b2e5b9982eccc8586b936e4b9e374
24,1/11/2020-4/11/2020,Nov 3 2020,2a2b83a695e620d3a10d3ef052de728fc5a76458,    fix: do not copy input files as resources to output folder,completed: 588 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/2a2b83a695e620d3a10d3ef052de728fc5a76458
24,1/11/2020-4/11/2020,Nov 2 2020,278c5f61423190e888080cd6035a737004f6a374,    feat(gui): allow to load multiple files, button for add files (#936),completed: 587 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/278c5f61423190e888080cd6035a737004f6a374
25,31/10/2020-1/11/2020,Nov 1 2020,8ca3cd3155ab859950def90151182801ea748c5c,    fix: don't use static vars of mutable LiteralArg class (#1005),completed: 587 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/8ca3cd3155ab859950def90151182801ea748c5c
26,25/10/2020-31/10/2020,Oct 30 2020,a22efc2eb6263b5df0424deddf31a3c20d4c1735,    fix: don't add cast for PHI insn (#1002),completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/a22efc2eb6263b5df0424deddf31a3c20d4c1735
26,25/10/2020-31/10/2020,Oct 30 2020,804c8eff911e2236c530c7b792ecb61c95a568aa,    fix(res): fixes deobfuscated resource text files saving (PR #1004),completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/804c8eff911e2236c530c7b792ecb61c95a568aa
26,25/10/2020-31/10/2020,Oct 29 2020,aec8ebe23760ec0181e652e48af6217bfee1cf5f,    fix: reload request for correct class in method inline visitor (#999),completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/aec8ebe23760ec0181e652e48af6217bfee1cf5f
26,25/10/2020-31/10/2020,Oct 29 2020,7353790ed1cdbd1b3220e92925dd4de11015885b,    fix(gui): only show renaming option for JClass, JField and JMethod (PR #1001),completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/7353790ed1cdbd1b3220e92925dd4de11015885b
26,25/10/2020-31/10/2020,Oct 28 2020,e09e8e5823fe717881520bafa602938ea25ec279,    chore: resolve some issues reported by sonar and lgtm,completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/e09e8e5823fe717881520bafa602938ea25ec279
26,25/10/2020-31/10/2020,Oct 27 2020,92773417b3e3867fb5d10ed9282ce41af0941557,    perf(gui): reduce updates count for memory usage bar (#1000),completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/92773417b3e3867fb5d10ed9282ce41af0941557
26,25/10/2020-31/10/2020,Oct 27 2020,12dc4fde8a07a4bf56fef140a60e8b3a11a31ee5,    fix(gui): clear jumps history on file close,completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/12dc4fde8a07a4bf56fef140a60e8b3a11a31ee5
26,25/10/2020-31/10/2020,Oct 26 2020,d1e5186d4adeabd51f52b42d5c07dd3cccd60f4b,    perf(res): speed up rename of deobfuscated resources,completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/d1e5186d4adeabd51f52b42d5c07dd3cccd60f4b
26,25/10/2020-31/10/2020,Oct 26 2020,d06ba95374ed2dfdc828867319fb2e9303ace9c1,    chore: remove unused static strings array,completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/d06ba95374ed2dfdc828867319fb2e9303ace9c1
26,25/10/2020-31/10/2020,Oct 25 2020,f0e6c8ea8e13d80929e9b20c4932164dac0ccfbb,    fix(res): put deobfuscated files to res/ folder (PR #995),completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/f0e6c8ea8e13d80929e9b20c4932164dac0ccfbb
26,25/10/2020-31/10/2020,Oct 25 2020,c94c204da21ec237d26a69f9b6265ec4a6a78bba,    chore: fix travis badge link,completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/c94c204da21ec237d26a69f9b6265ec4a6a78bba
27,2/10/2020-25/10/2020,Oct 25 2020,71617a1c70636a290a31e370401c344d067f6bd7,    feat(res): fix duplicate entries and deobfuscate file names in XML resources  (PR #995),completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/71617a1c70636a290a31e370401c344d067f6bd7
