NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK,TEST PATH
44,16/02/2020-22/02/2020,Feb 22 2020,afaedba3f5d45bfe810c60bd83f85390e76c4f5a,    v3.4.1-SNAPSHOT,completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/afaedba3f5d45bfe810c60bd83f85390e76c4f5a,lottie/src/test/java/com/airbnb/lottie
44,16/02/2020-22/02/2020,Feb 22 2020,28f4e5a5087196e2ebb0923bba35c84175b3b39a,    Play not resume animation when playAnimation() is called when isShown() is false (#1521),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/28f4e5a5087196e2ebb0923bba35c84175b3b39a,lottie/src/test/java/com/airbnb/lottie
45,15/02/2020-16/02/2020,Feb 16 2020,0ca5227776c9057911ffdbc8448f7fbfd441b38e,    Properly clear canvas for masks pre-Pie (#1505),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/0ca5227776c9057911ffdbc8448f7fbfd441b38e,lottie/src/test/java/com/airbnb/lottie
45,15/02/2020-16/02/2020,Feb 15 2020,a709ac66770b615e862e5ee444afdb3c1481bdbd,    Accept alpha [0255] (#1503),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/a709ac66770b615e862e5ee444afdb3c1481bdbd,lottie/src/test/java/com/airbnb/lottie
46,13/02/2020-15/02/2020,Feb 15 2020,e82e63c79fbdeda06b7a9caeb870872583e0801b,    Ensure ImageView updates Drawable bounds when not using LottieAnimationView (#1504),completed: 266 skipped: 4 failures: 236 errors: 0,https://github.com/airbnb/lottie-android/commit/e82e63c79fbdeda06b7a9caeb870872583e0801b,lottie/src/test/java/com/airbnb/lottie
69,10/08/2019-28/08/2019,Aug 10 2019,ea3a2dcb08533671334cb4fe4b72185dae288611,    Prevent removeAllUdpateListeners from breaking the world (#1354),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/ea3a2dcb08533671334cb4fe4b72185dae288611,lottie/src/test/java/com/airbnb/lottie
69,10/08/2019-28/08/2019,Aug 10 2019,d052572d53e4f4bd8f104036c5cdf51badb4d519,    Fixed endless recycler view animation. #1340,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/d052572d53e4f4bd8f104036c5cdf51badb4d519,lottie/src/test/java/com/airbnb/lottie
70,22/07/2019-10/08/2019,Aug 10 2019,d9c982ece3a9cb5ec6fe6244ce9087c1ff5ab012,    Include day/night mode in cache keys (#1352),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/d9c982ece3a9cb5ec6fe6244ce9087c1ff5ab012,lottie/src/test/java/com/airbnb/lottie
70,22/07/2019-10/08/2019,Aug 10 2019,ec92421db174041e13b2313d4b705967c6bfb71f,    Added issue-repro module (#1351),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/ec92421db174041e13b2313d4b705967c6bfb71f,lottie/src/test/java/com/airbnb/lottie
70,22/07/2019-10/08/2019,Aug 10 2019,b8136dd294fcee3ad491d755454a06146822833a,    Don't resume animation when system animation is disabled. (#1349),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/b8136dd294fcee3ad491d755454a06146822833a,lottie/src/test/java/com/airbnb/lottie
