NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
1,28/08/2019-09/02/2021,Sep 12 2019,2acac62c7354fee46a5201d50a4712732f6dd1ed,    Prepare version 10.2.0,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/2acac62c7354fee46a5201d50a4712732f6dd1ed
1,28/08/2019-09/02/2021,Sep 12 2019,e7df7bfe9e141b3cca6af47eac073f0e585c9aec,    Merge pull request #1552 from JakeWharton/JakeWharton-patch-1,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/e7df7bfe9e141b3cca6af47eac073f0e585c9aec
1,28/08/2019-09/02/2021,Sep 12 2019,c0a611bedcbf6d155edadcdbb68bde36a17bac37,    Switch copyOfRange(x y) to copyOf(x y),completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/c0a611bedcbf6d155edadcdbb68bde36a17bac37
1,28/08/2019-09/02/2021,Sep 8 2019,7a85315f505f395bb760e5320c3921a98e7e8939,    Merge pull request #1550 from JakeWharton/jakew/three-three/2019-09-05,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/7a85315f505f395bb760e5320c3921a98e7e8939
1,28/08/2019-09/02/2021,Sep 6 2019,cfbec9af794186407544a22ec461c4b729b48b0a,    Update to AGP 3.3 as minimum supported version,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/cfbec9af794186407544a22ec461c4b729b48b0a
1,28/08/2019-09/02/2021,Sep 4 2019,163c9ab6f13cddea77ff3c36dad1636f700bfb7b,    Merge pull request #1546 from gavra0/isolating-ap,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/163c9ab6f13cddea77ff3c36dad1636f700bfb7b
1,28/08/2019-09/02/2021,Aug 28 2019,3f675f4e23e59f645f5cecddde9f3b9fb1925cf8,    Add support for incremental annotation processing,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/3f675f4e23e59f645f5cecddde9f3b9fb1925cf8
1,28/08/2019-09/02/2021,Sep 4 2019,6d618c3d61c57fbc011e5980985867b3df2cc954,    Merge pull request #1545 from gavra0/master,completed: 238 skipped: 0 failures: 10 errors: 0,https://github.com/JakeWharton/butterknife/commit/6d618c3d61c57fbc011e5980985867b3df2cc954
2,22/03/2019-28/08/2019,Jun 10 2019,2409a1dd2fe9b2eb4cacfb8679c2591b65e1ea96,    Correct link to Dagger documentation,completed: 232 skipped: 0 failures: 4 errors: 0,https://github.com/JakeWharton/butterknife/commit/2409a1dd2fe9b2eb4cacfb8679c2591b65e1ea96
2,22/03/2019-28/08/2019,May 24 2019,8f8c7fa73c279ee034438cf4d162c9dbdff9fa2f,    Merge pull request #1516 from CoryCharlton/master,completed: 232 skipped: 0 failures: 4 errors: 0,https://github.com/JakeWharton/butterknife/commit/8f8c7fa73c279ee034438cf4d162c9dbdff9fa2f
