NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
6,30/05/2019-14/10/2019,May 30 2019,da11cc72295d6bbf70035667d9dd1871d248cde5,    v3.0.5,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/da11cc72295d6bbf70035667d9dd1871d248cde5
6,30/05/2019-14/10/2019,May 30 2019,77401c58972d6a60b6ee530b58459df6b84f0991,    v3.0.4,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/77401c58972d6a60b6ee530b58459df6b84f0991
6,30/05/2019-14/10/2019,May 30 2019,891e73fa1146196b4cde7c7873ca1a352fc40a58,    Fix copy paste error (#1245),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/891e73fa1146196b4cde7c7873ca1a352fc40a58
7,18/03/2019-30/05/2019,May 25 2019,5a5ff800b05ff735df2d7341ea63fa44a527b927,    Prevent BuildConfig builds from ever being on release builds (#1232),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/5a5ff800b05ff735df2d7341ea63fa44a527b927
7,18/03/2019-30/05/2019,May 20 2019,6bef284ac9b23c215364d2cd5221a29120c0e889,    v3.0.3,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/6bef284ac9b23c215364d2cd5221a29120c0e889
7,18/03/2019-30/05/2019,May 19 2019,7371eabe326ac70991cf237da423b03ee52caba8,    Resize bitmaps to the size specified in JSON (#1225),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/7371eabe326ac70991cf237da423b03ee52caba8
7,18/03/2019-30/05/2019,May 19 2019,174ce16ec59b1ab11b074460c23b0286f7da08eb,    Set correct frame when animation ends and speed is < 0 (#1222),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/174ce16ec59b1ab11b074460c23b0286f7da08eb
7,18/03/2019-30/05/2019,May 19 2019,9e8d64081e941f5fc29a31c0a9e1088bfa8a3197,    invalidateSelf after setAlpha,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/9e8d64081e941f5fc29a31c0a9e1088bfa8a3197
7,18/03/2019-30/05/2019,May 15 2019,bd04ebc835a52c174acf173b69b35ba6c7ed5ffc,    Set wasAnimatingWhenDetached to false at pause() (#1217),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/bd04ebc835a52c174acf173b69b35ba6c7ed5ffc
7,18/03/2019-30/05/2019,May 8 2019,3004a3b9b6f6b9039ba2af68c640129f7b0bca2a,    Add a customizable logger and try/finally network connections (#1162),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/3004a3b9b6f6b9039ba2af68c640129f7b0bca2a
